NAME,B01003_001E,B17001_001E,B17001_002E,B19313_001E,B20002_001E,B19082_001E,B19082_002E,B19082_003E,B19082_004E,B19082_005E,B19082_006E,C17002_001E,C17002_002E,C17002_003E,C17002_004E,C17002_005E,C17002_006E,C17002_007E,C17002_008E,B25003_001E,B25003_002E,B25003_003E,B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,B19001_001E,B05012_002E,B05012_003E,B02001_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B03003_001E,B03003_002E,B03003_003E,state,county,tract
"Census Tract 9405, Oglala Lakota County, South Dakota",5380,5264,2035,58792300,24388,2.17,8.32,14.46,23.89,51.16,22.11,5264,1149,886,426,477,172,180,1974,953,452,501,3568,1657,1657,1442,215,0,1911,953,5370,10,5380,175,12,5180,0,0,0,13,0,13,5380,5156,224,46,102,940500
"Census Tract 9408, Oglala Lakota County, South Dakota",4063,4063,2414,38481800,14858,1.26,6.21,12.05,20.60,59.88,28.70,4063,1485,929,305,95,469,63,717,869,493,376,2890,1189,1189,792,397,0,1701,869,4051,12,4063,191,0,3728,0,0,0,144,0,144,4063,4016,47,46,102,940800
"Census Tract 9409, Oglala Lakota County, South Dakota",4892,4849,2543,48203000,22246,2.15,7.64,16.19,26.82,47.18,16.77,4849,1223,1320,625,120,366,80,1115,998,540,458,3172,1474,1474,1235,239,0,1698,998,4867,25,4892,347,0,4349,0,0,16,180,0,180,4892,4601,291,46,102,940900
