NAME,B01003_001E,B17001_001E,B17001_002E,state,county
"Ste. Genevieve County, Missouri",17871,17571,2571,29,186
"Randolph County, Missouri",24945,22696,3507,29,175
"Franklin County, Missouri",102781,101479,10999,29,071
"Howard County, Missouri",10113,9423,1413,29,089
"Jackson County, Missouri",692003,680802,103216,29,095
"Miller County, Missouri",25049,24584,4400,29,131
"Pulaski County, Missouri",52591,43211,6236,29,169
"Putnam County, Missouri",4815,4738,859,29,171
"Taney County, Missouri",54720,53033,9144,29,213
"Texas County, Missouri",25671,24204,5874,29,215
"Buchanan County, Missouri",89076,84984,14655,29,021
"Caldwell County, Missouri",9049,8694,1298,29,025
"Callaway County, Missouri",44840,40723,4737,29,027
"Cass County, Missouri",102678,101242,9959,29,037
"Clinton County, Missouri",20475,19841,2153,29,049
"Cooper County, Missouri",17622,16007,1899,29,053
"Dallas County, Missouri",16499,16251,2445,29,059
"Gentry County, Missouri",6665,6488,1129,29,075
"Hickory County, Missouri",9368,9252,1612,29,085
"Lincoln County, Missouri",55563,54677,6915,29,113
"Mississippi County, Missouri",13748,11978,2996,29,133
"Monroe County, Missouri",8654,8528,1201,29,137
"Newton County, Missouri",58202,57174,7924,29,145
"Ozark County, Missouri",9236,9074,2384,29,153
"Pike County, Missouri",18489,16129,2256,29,163
"St. Charles County, Missouri",389985,381682,21444,29,183
"Custer County, Montana",11845,11371,1113,30,017
"Hill County, Montana",16439,15989,3098,30,041
"Powder River County, Montana",1619,1576,164,30,075
"Park County, Montana",16246,16073,2007,30,067
"Roosevelt County, Montana",11228,10913,3087,30,085
"Blaine County, Montana",6727,6616,1961,30,005
"Liberty County, Montana",2280,2258,322,30,051
"Richland County, Montana",11360,11311,609,30,083
"Teton County, Montana",6080,6000,797,30,099
"Toole County, Montana",4976,4290,645,30,101
"Fallon County, Montana",2838,2736,266,30,025
"Daniels County, Montana",1753,1728,72,30,019
"Judith Basin County, Montana",1951,1951,268,30,045
"Silver Bow County, Montana",34814,33865,6464,30,093
"Deer Lodge County, Montana",9100,8503,1634,30,023
"Jefferson County, Montana",11778,11619,1018,30,043
"McCone County, Montana",1630,1603,124,30,055
"Wheatland County, Montana",2149,2116,365,30,107
"Rosebud County, Montana",9250,9112,1707,30,087
"Carter County, Montana",1318,1296,173,30,011
"Dawson County, Montana",9191,8640,830,30,021
"Broadwater County, Montana",5834,5791,400,30,007
"Lake County, Montana",29774,29320,6184,30,047
"Pondera County, Montana",6044,5943,1186,30,073
"Yellowstone County, Montana",157816,153945,15259,30,111
"Ravalli County, Montana",41902,41555,5924,30,081
"Valley County, Montana",7532,7399,670,30,105
"Fergus County, Montana",11273,11082,1534,30,027
"Mineral County, Montana",4211,4153,705,30,061
"Petroleum County, Montana",432,419,35,30,069
"Sanders County, Montana",11521,11335,2210,30,089
"Flathead County, Montana",98082,96940,11368,30,029
"Wibaux County, Montana",1175,1139,180,30,109
"Meagher County, Montana",1968,1942,292,30,059
"Carbon County, Montana",10546,10458,1061,30,009
"Phillips County, Montana",4124,4058,603,30,071
"Adams County, Nebraska",31583,29904,3900,31,001
"Lancaster County, Nebraska",310094,296676,38952,31,109
"Boone County, Nebraska",5313,5207,316,31,011
"Rock County, Nebraska",1350,1290,96,31,149
"Banner County, Nebraska",696,694,67,31,007
"Sherman County, Nebraska",3042,2973,339,31,163
"Richardson County, Nebraska",8009,7836,1036,31,147
"Howard County, Nebraska",6405,6392,672,31,093
"Holt County, Nebraska",10245,10067,849,31,089
"Furnas County, Nebraska",4786,4669,507,31,065
"Gosper County, Nebraska",2015,1977,101,31,073
"Saline County, Nebraska",14288,13277,1798,31,151
"Sarpy County, Nebraska",178351,176379,9521,31,153
"Thurston County, Nebraska",7140,7042,1992,31,173
"Washington County, Nebraska",20219,19879,1611,31,177
"Boyd County, Nebraska",2042,2003,213,31,015
"Cherry County, Nebraska",5790,5707,597,31,031
"Dodge County, Nebraska",36683,35592,4862,31,053
"Fillmore County, Nebraska",5574,5341,533,31,059
"Garden County, Nebraska",1860,1820,165,31,069
"Hooker County, Nebraska",691,657,112,31,091
"Morrill County, Nebraska",4841,4667,408,31,123
"Nemaha County, Nebraska",7004,6481,801,31,127
"Seward County, Nebraska",17127,15655,1176,31,159
"Thomas County, Nebraska",645,645,69,31,171
"Dakota County, Nebraska",20317,20006,3312,31,043
"Webster County, Nebraska",3571,3470,383,31,181
"Antelope County, Nebraska",6372,6284,790,31,003
"Butler County, Nebraska",8067,7887,590,31,023
"Clay County, Nebraska",6232,6129,699,31,035
"Custer County, Nebraska",10830,10570,1189,31,041
"Gage County, Nebraska",21595,21141,2079,31,067
"Hamilton County, Nebraska",9178,9004,443,31,081
"Kearney County, Nebraska",6552,6460,682,31,099
"Keith County, Nebraska",8099,8017,940,31,101
"Madison County, Nebraska",35164,34101,5393,31,119
"Perkins County, Nebraska",2907,2871,159,31,135
"Saunders County, Nebraska",21024,20757,1752,31,155
"Wayne County, Nebraska",9367,8126,1150,31,179
"Keya Paha County, Nebraska",792,792,48,31,103
"Knox County, Nebraska",8460,8238,899,31,107
"Lincoln County, Nebraska",35433,34471,4198,31,111
"Pierce County, Nebraska",7157,6987,507,31,139
"Sioux County, Nebraska",1266,1266,135,31,165
"Cass County, Nebraska",25702,25240,1623,31,025
"Dixon County, Nebraska",5746,5660,707,31,051
"Dundy County, Nebraska",2023,1979,203,31,057
"Greeley County, Nebraska",2410,2373,226,31,077
"Hall County, Nebraska",61343,60118,7810,31,079
"Otoe County, Nebraska",15896,15562,1740,31,131
"Red Willow County, Nebraska",10806,10385,1011,31,145
"Dawes County, Nebraska",8896,7822,1124,31,045
"Cheyenne County, Nebraska",9852,9733,974,31,033
"Dawson County, Nebraska",23804,23426,3078,31,047
"Valley County, Nebraska",4224,4137,438,31,175
"McPherson County, Nebraska",454,454,77,31,117
"Nance County, Nebraska",3554,3447,390,31,125
"Stanton County, Nebraska",5992,5939,525,31,167
"Harlan County, Nebraska",3438,3387,381,31,083
"Blaine County, Nebraska",480,480,60,31,009
"Buffalo County, Nebraska",49030,46567,6554,31,019
"Deuel County, Nebraska",1894,1850,188,31,049
"Hitchcock County, Nebraska",2843,2780,352,31,087
"Platte County, Nebraska",33063,32561,2688,31,141
"Thayer County, Nebraska",5098,4929,416,31,169
"Box Butte County, Nebraska",11089,10878,1291,31,013
"Churchill County, Nevada",24010,23483,3006,32,001
"Douglas County, Nevada",47828,47526,4434,32,005
"Pershing County, Nevada",6611,4701,711,32,027
"Esmeralda County, Nevada",981,976,70,32,009
"Humboldt County, Nevada",16904,16694,1924,32,013
"Mineral County, Nevada",4448,4376,1033,32,021
"White Pine County, Nevada",9737,8265,898,32,033
"Elko County, Nevada",52252,51417,6124,32,007
"Lincoln County, Nevada",5174,4632,313,32,017
"Nye County, Nevada",43705,43113,6967,32,023
"Storey County, Nevada",3941,3927,312,32,029
"Washoe County, Nevada",450486,445117,54171,32,031
"Clark County, Nevada",2141574,2114421,299169,32,003
"Carson City, Nevada",54467,52340,7148,32,510
"Lyon County, Nevada",53155,52888,6159,32,019
"Cheshire County, New Hampshire",76263,71648,7105,33,005
"Merrimack County, New Hampshire",149452,142703,10317,33,013
"Grafton County, New Hampshire",89811,83167,8250,33,009
"Rockingham County, New Hampshire",305129,302646,14207,33,015
"Belknap County, New Hampshire",60640,59706,5169,33,001
"Sullivan County, New Hampshire",43125,42392,4569,33,019
"Hillsborough County, New Hampshire",411087,402633,32560,33,011
"Strafford County, New Hampshire",128237,118964,11869,33,017
"Coos County, New Hampshire",32038,29599,3774,33,007
"Carroll County, New Hampshire",47840,47206,4532,33,003
"Monmouth County, New Jersey",623387,617480,45873,34,025
"Sussex County, New Jersey",142298,140897,7191,34,037
"Cumberland County, New Jersey",153400,141164,24830,34,011
"Essex County, New Jersey",793555,774125,127250,34,013
"Ocean County, New Jersey",591939,584619,62837,34,029
"Gloucester County, New Jersey",290852,286910,21275,34,015
"Salem County, New Jersey",63336,62032,8067,34,033
"Passaic County, New Jersey",504041,496327,82823,34,031
"Camden County, New Jersey",507367,500400,62871,34,007
"Bergen County, New Jersey",929999,919555,64674,34,003
"Warren County, New Jersey",106293,104650,8147,34,041
"Hudson County, New Jersey",668631,660845,107718,34,017
"Burlington County, New Jersey",446367,434384,28151,34,005
"Morris County, New Jersey",494383,486906,22607,34,027
"Rio Arriba County, New Mexico",39307,,,35,039
"San Miguel County, New Mexico",28034,26454,7319,35,047
"Torrance County, New Mexico",15595,15009,3870,35,057
"Otero County, New Mexico",65745,62297,13232,35,035
"Cibola County, New Mexico",26978,25490,6758,35,006
"Guadalupe County, New Mexico",4382,3703,538,35,019
"Catron County, New Mexico",3539,3530,810,35,003
"Grant County, New Mexico",28061,27404,5970,35,017
"Luna County, New Mexico",24264,23890,7206,35,029
"McKinley County, New Mexico",72849,72225,25986,35,031
"Taos County, New Mexico",32888,32696,6346,35,055
"Colfax County, New Mexico",12353,11770,2797,35,007
"Eddy County, New Mexico",57437,56563,8663,35,015
"Mora County, New Mexico",4563,4555,881,35,033
"Quay County, New Mexico",8373,8287,1828,35,037
"Lincoln County, New Mexico",19482,19294,3134,35,027
"Lea County, New Mexico",70126,67539,11203,35,025
"Santa Fe County, New Mexico",148917,146392,18675,35,049
"Sierra County, New Mexico",11135,10823,2690,35,051
"Socorro County, New Mexico",17000,16475,4796,35,053
"Do�a Ana County, New Mexico",215338,209785,58023,35,013
"Schoharie County, New York",31364,29937,3945,36,095
"Onondaga County, New York",464242,445190,65143,36,067
"Clinton County, New York",80794,73035,11182,36,019
"Seneca County, New York",34612,31604,3924,36,099
"Putnam County, New York",99070,97654,5191,36,079
"Franklin County, New York",50692,45031,8195,36,033
"Ontario County, New York",109472,106119,10203,36,069
"Queens County, New York",2298513,2272240,295165,36,081
"Steuben County, New York",96927,95216,13308,36,101
"Hamilton County, New York",4575,4541,315,36,041
"Washington County, New York",61828,58569,7055,36,115
"Chautauqua County, New York",129656,124066,23241,36,013
"Kings County, New York",2600747,2576152,544622,36,047
"New York County, New York",1632480,1585578,263413,36,061
"Tioga County, New York",49045,48588,5091,36,107
"Cayuga County, New York",77868,73276,8563,36,011
"Orleans County, New York",41175,38422,5499,36,073
"Saratoga County, New York",227377,223468,13797,36,091
"Rockland County, New York",323686,319229,45613,36,087
"Columbia County, New York",60919,59130,7039,36,021
"Lewis County, New York",26719,26385,3712,36,049
"Niagara County, New York",211704,208008,27967,36,063
"Westchester County, New York",968815,945721,87214,36,119
"Delaware County, New York",45502,43142,7000,36,025
"Essex County, New York",37751,35101,3323,36,031
"Montgomery County, New York",49426,48412,9649,36,057
"Nassau County, New York",1356564,1337372,76461,36,059
"Richmond County, New York",474101,468059,60026,36,085
"Schuyler County, New York",17992,17626,2444,36,097
"Tompkins County, New York",102962,89259,17500,36,109
"Chenango County, New York",48348,47535,6796,36,017
"Cortland County, New York",48123,44518,6884,36,023
"Jefferson County, New York",114448,107875,15365,36,045
"Oneida County, New York",230782,218580,35271,36,065
"Suffolk County, New York",1487901,1459856,103887,36,103
"Wyoming County, New York",40565,37412,4092,36,121
"Chemung County, New York",85740,80919,11996,36,015
"Oswego County, New York",119104,113667,20392,36,075
"Otsego County, New York",60244,55111,8467,36,077
"Wayne County, New York",90856,89589,10127,36,117
"Albany County, New York",307426,291649,34919,36,001
"Broome County, New York",194402,184464,31349,36,007
"Erie County, New York",919866,893188,129903,36,029
"Madison County, New York",71359,66173,6549,36,053
"Sullivan County, New York",75211,72599,10646,36,105
"Mitchell County, North Carolina",15040,14614,2052,37,121
"Genesee County, New York",58112,57240,6501,36,037
"Orange County, New York",378227,368491,43543,36,071
"Greene County, North Carolina",21008,18635,4781,37,079
"Chowan County, North Carolina",14205,13875,2715,37,041
"Caldwell County, North Carolina",81779,80561,13405,37,027
"Catawba County, North Carolina",156729,153965,20377,37,035
"Craven County, North Carolina",103082,97756,14915,37,049
"Edgecombe County, North Carolina",53332,52536,12423,37,065
"Harnett County, North Carolina",130361,126783,21495,37,085
"Henderson County, North Carolina",113625,112230,11926,37,089
"Hyde County, North Carolina",5393,4761,1062,37,095
"Mecklenburg County, North Carolina",1054314,1039018,131485,37,119
"Northampton County, North Carolina",20186,19290,4216,37,131
"Rowan County, North Carolina",139605,135388,22386,37,159
"Vance County, North Carolina",44482,43700,10451,37,181
"Currituck County, North Carolina",25796,25612,2562,37,053
"Union County, North Carolina",226694,223824,19921,37,179
"Forsyth County, North Carolina",371573,361175,63652,37,067
"Nash County, North Carolina",94003,92007,14269,37,127
"Bladen County, North Carolina",33778,33290,8649,37,017
"Dare County, North Carolina",35741,35537,2929,37,055
"Warren County, North Carolina",20033,19078,3663,37,185
"Wilson County, North Carolina",81336,79774,17141,37,195
"Bertie County, North Carolina",19644,18322,4207,37,015
"Gates County, North Carolina",11563,11490,1270,37,073
"Graham County, North Carolina",8557,8424,1524,37,075
"Martin County, North Carolina",23054,22864,4172,37,117
"Madison County, North Carolina",21405,20337,3586,37,115
"Pamlico County, North Carolina",12742,12007,1696,37,137
"Perquimans County, North Carolina",13459,13294,2055,37,143
"Polk County, North Carolina",20458,20149,1906,37,149
"Randolph County, North Carolina",142958,141181,22265,37,151
"Rockingham County, North Carolina",91270,89819,16201,37,157
"Stokes County, North Carolina",45905,45349,6166,37,169
"Washington County, North Carolina",12156,11955,2808,37,187
"Camden County, North Carolina",10447,10447,1172,37,029
