NAME,totalpop,totalpovpop,<pov,income,medinc,Q1,Q2,Q3,Q4,Q5,Top5,total-incpovrat,<.50,.50-.99,1.00-1.24,1.25-1.49,1.50-1.84,1.85-1.99,2.00+,total-tenure,owner,renter,total-employment,laborforce,civillaborforce,employed,unemployed,military,non-labor,total-hhincome,native,foreign,total-race,white,black,nativeamer,asianpac,other,multiracial,total-hispanic,nonhispanic,hispanic,unemployment,incpercap,homeownership,immigrant,pctpov,geoid
"Census Tract 9402, Todd County, South Dakota",5847.0,5727.0,3010.0,69439600.0,24684.0,1.39,6.04,13.42,24.02,55.13,24.04,5727.0,1652.0,1358.0,270.0,357.0,361.0,113.0,1616.0,1567.0,721.0,846.0,3520.0,1779.0,1779.0,1579.0,200.0,0.0,1741.0,1567.0,5682.0,165.0,5847.0,701.0,9.0,4597.0,154.0,0.0,772.0,5847.0,5680.0,167.0,11.242270938729623,11876.107405507099,46.01148691767709,0.028219599794766546,52.55805832023747,46121940200
"Census Tract 9401, Todd County, South Dakota",4299.0,4221.0,2471.0,41468000.0,22877.0,0.78,5.9,12.1,24.26,56.96,25.61,4221.0,1649.0,822.0,244.0,327.0,205.0,54.0,920.0,1136.0,460.0,676.0,2954.0,1188.0,1188.0,997.0,191.0,0.0,1766.0,1136.0,4267.0,32.0,4299.0,248.0,9.0,3748.0,0.0,10.0,568.0,4299.0,4029.0,270.0,16.077441077441076,9645.964177715749,40.49295774647887,0.007443591532914631,58.540630182421225,46121940100
