NAME,B01003_001E,B17001_001E,B17001_002E,state,county
"Nassau County, Florida",73303,72298,8039,12,089
"Okaloosa County, Florida",183400,178325,22288,12,091
"Okeechobee County, Florida",39779,37780,10290,12,093
"Orange County, Florida",1153795,1129625,183725,12,095
"Osceola County, Florida",272355,269356,43075,12,097
"Palm Beach County, Florida",1324085,1305834,182726,12,099
"Pasco County, Florida",465276,459094,62732,12,101
"Pinellas County, Florida",917389,901657,117956,12,103
"Polk County, Florida",604562,590073,103322,12,105
"Putnam County, Florida",74224,72659,18518,12,107
"St. Johns County, Florida",191495,189044,18493,12,109
"St. Lucie County, Florida",278246,275036,45628,12,111
"Santa Rosa County, Florida",153086,149339,16571,12,113
"Sarasota County, Florida",380479,374857,43644,12,115
"Seminole County, Florida",423389,419926,45254,12,117
"Sumter County, Florida",94240,84952,9898,12,119
"Suwannee County, Florida",42287,41055,8993,12,121
"Taylor County, Florida",22561,19762,3776,12,123
"Union County, Florida",15400,10889,2039,12,125
"Volusia County, Florida",495581,482910,77375,12,127
"Wakulla County, Florida",30449,27098,3828,12,129
"Walton County, Florida",55349,53022,8682,12,131
"Washington County, Florida",24732,22462,4705,12,133
"Appling County, Georgia",18279,17916,3699,13,001
"Atkinson County, Georgia",8355,8316,2833,13,003
"Bacon County, Georgia",11124,10699,1866,13,005
"Baker County, Georgia",3483,3440,1233,13,007
"Baldwin County, Georgia",46378,41410,11905,13,009
"Banks County, Georgia",18250,18191,3251,13,011
"Barrow County, Georgia",69136,68653,9356,13,013
"Bartow County, Georgia",99872,98746,15831,13,015
"Ben Hill County, Georgia",17612,17210,5558,13,017
"Berrien County, Georgia",19131,18775,4642,13,019
"Bibb County, Georgia",155560,148825,35013,13,021
"Bleckley County, Georgia",13009,11583,2187,13,023
"Brantley County, Georgia",18279,18056,3975,13,025
"Brooks County, Georgia",16066,15809,3525,13,027
"Bryan County, Georgia",30616,30433,3686,13,029
"Bulloch County, Georgia",70360,65456,20508,13,031
"Burke County, Georgia",23242,23003,7118,13,033
"Butts County, Georgia",23671,21422,2797,13,035
"Calhoun County, Georgia",6581,5115,1846,13,037
"Camden County, Georgia",50435,48829,7896,13,039
"Candler County, Georgia",11007,10602,2267,13,043
"Carroll County, Georgia",110750,106997,19101,13,045
"Catoosa County, Georgia",64226,63645,7844,13,047
"Charlton County, Georgia",12954,11488,1749,13,049
"Chatham County, Georgia",266344,257301,48591,13,051
"Chattahoochee County, Georgia",11917,8986,1221,13,053
"Chattooga County, Georgia",25905,24126,5000,13,055
"Cherokee County, Georgia",215014,213717,17855,13,057
"Clarke County, Georgia",117762,106568,37238,13,059
"Clay County, Georgia",3174,3116,1487,13,061
"Clayton County, Georgia",262066,256580,55125,13,063
"Clinch County, Georgia",6800,6614,1428,13,065
"Cobb County, Georgia",691820,682799,81418,13,067
"Coffee County, Georgia",42566,39173,9464,13,069
"Colquitt County, Georgia",45531,44590,11456,13,071
"Columbia County, Georgia",124665,123937,9962,13,073
"Cook County, Georgia",17073,16816,3819,13,075
"Coweta County, Georgia",127212,126076,14845,13,077
"Crawford County, Georgia",12701,12558,2696,13,079
"Crisp County, Georgia",23460,22772,7113,13,081
"Dade County, Georgia",16598,15431,2536,13,083
"Dawson County, Georgia",22246,21864,2998,13,085
"Decatur County, Georgia",27815,26604,7694,13,087
"DeKalb County, Georgia",694671,679527,126343,13,089
"Dodge County, Georgia",21509,19320,3700,13,091
"Dooly County, Georgia",14528,12620,3606,13,093
"Dougherty County, Georgia",94591,91443,27982,13,095
"Douglas County, Georgia",132124,130401,17450,13,097
"Early County, Georgia",10928,10610,3103,13,099
"Echols County, Georgia",4024,4024,1459,13,101
"Effingham County, Georgia",52203,51767,5472,13,103
"Elbert County, Georgia",20103,19843,3976,13,105
"Emanuel County, Georgia",22600,21653,6030,13,107
"Evans County, Georgia",10935,10322,2640,13,109
"Fannin County, Georgia",23554,23268,4680,13,111
"Fayette County, Georgia",106525,105713,7119,13,113
